"Future
Section ID","Future
Bridge ID","Future
Bridge Name",Selection
FS92764MN,FB92785MN,Overpass Bridge 2,0
FS00007MN,FB00045MN,New Visayas Br.,0
FS00011MN,FB00050MN,Sta. Cruz Br.,0
FS00011MN,FB00049MN,San Nicolas Br.,0
FS15123MN,FB15823MN,Bridge 1,0
FS15123MN,FB15123MN,Bridge 2,0
FS15123MN,FB57097MN,Br. 1_2023,0
FS15123MN,FB57096MN,Br. 1_2023,0
FS15123MN,FB15130MN,Bridge_2020,0
FS15123MN,FB00183MN,Sta. Ana Br.,0
FS15123MN,FB15125MN,Bridge 2019_B,0
FS15123MN,FB15126MN,Bridge 2019_C,0
FS15123MN,FB21123MN,Bridge 2021 A,0
FS15123MN,FB21124MN,Bridge 2021 B,0
FS15123MN,FB21125MN,Bridge 2021 C,0
S00001MN,FB00041MN,Panacan - Bunawan Flyover,0
FS15123MN,FB15124MN,Bridge 2019_A,0
FS32813MN,FB49209MN,New Br. 1,0
FS15123MN,FB84926MN,Bridge_1_2023,0
FS32813MN,FB19210MN,New BR. 2,0
FS15123MN,FB58001MN,Bridge 1_2024,0
FS15123MN,FB58002MN,Bridge 2_2024,0
FS32813MN,FB49211MN,New Br. 3,0
FS20477MN,FB20477MN,Bridge 1,0
FS20477MN,FB20478MN,Bridge 2,0
FS20477MN,FB22477MN,Bridge 3,0
S00013MN,FB00141MN,Davao City Diversion Rd Flyover,0
FS32819MN,FB49214MN,New Br. 1,0
